Date,Open,High,Low,Close,Volume,Adj Close
2013-11-22,26.87,27.09,26.86,27.08,22047800,26.63
2013-11-21,27.02,27.02,26.76,26.91,30361500,26.46
2013-11-20,26.99,27.17,26.88,26.96,30286400,26.51
2013-11-19,27.13,27.33,26.92,27.03,35722000,26.58
2013-11-18,27.28,27.50,27.11,27.22,39084100,26.77
2013-11-15,27.01,27.43,26.97,27.20,51698500,26.75
2013-11-14,27.15,27.20,26.86,26.99,32454600,26.54
2013-11-13,26.97,27.15,26.75,27.15,34393600,26.70
2013-11-12,26.92,27.14,26.81,27.05,37560200,26.60
2013-11-11,27.02,27.04,26.89,27.01,23888300,26.56
2013-11-08,26.42,27.06,26.40,27.05,37708900,26.60
2013-11-07,26.94,27.19,26.60,26.60,59541600,26.16
2013-11-06,26.47,26.98,26.45,26.90,58658800,26.45
2013-11-05,26.32,26.52,26.26,26.42,24897500,25.98
2013-11-04,26.59,26.59,26.31,26.43,28166100,25.99
2013-11-01,26.05,26.64,26.03,26.54,55634500,26.10
2013-10-31,26.35,26.44,26.12,26.14,42852500,25.71
2013-10-30,26.29,26.48,26.19,26.37,39840400,25.93
2013-10-29,26.19,26.30,26.07,26.21,38436000,25.77
2013-10-28,25.88,26.16,25.76,26.09,31952000,25.66
2013-10-25,26.07,26.08,25.80,25.88,27373400,25.45
2013-10-24,25.84,26.02,25.67,25.94,34619100,25.51
2013-10-23,25.99,26.00,25.64,25.70,39545800,25.27
2013-10-22,26.19,26.24,25.98,26.02,43352900,25.59
2013-10-21,25.87,26.35,25.79,26.14,60782400,25.71
2013-10-18,25.21,25.75,25.09,25.55,98507300,25.13
2013-10-17,24.38,24.68,24.23,24.68,45442400,24.27
2013-10-16,24.35,24.40,24.13,24.36,30230600,23.96
2013-10-15,24.27,24.45,24.15,24.19,28367200,23.79
2013-10-14,24.21,24.38,24.16,24.38,22026900,23.97
2013-10-11,24.32,24.49,24.20,24.40,34178400,23.99
2013-10-10,23.90,24.25,23.82,24.25,38175500,23.85
2013-10-09,23.84,23.84,23.50,23.57,35095500,23.18
2013-10-08,23.92,23.92,23.67,23.67,42390800,23.28
2013-10-07,23.84,24.13,23.80,23.94,28981600,23.54
2013-10-04,24.18,24.18,23.90,24.05,33307300,23.65
2013-10-03,24.22,24.25,23.84,24.10,37472200,23.70
2013-10-02,24.14,24.35,24.05,24.33,34224600,23.93
2013-10-01,23.94,24.22,23.90,24.17,28985200,23.77
